age,monthly_charges,tenure,n_monthly_visits,monthly_products,total_charges,irrelevant_1,irrelevant_2
32,1529,36,2,1.0,73891.38,0.36,0.27
73,1551,59,3,3.0,106722.36,0.79,-1.99
29,2804,9,8,11.0,12954.84,0.25,0.24
65,572,42,1,1.0,21687.2,0.87,-0.29
39,1860,41,6,9.0,83902.75,0.8,1.05
46,1646,48,1,9.0,80430.05,0.72,-0.2
52,1536,52,1,8.0,119039.57,0.18,0.55
24,2874,24,3,13.0,62012.68,0.87,-2.76
79,1922,47,2,3.0,101333.34,0.98,0.09
56,1591,36,3,4.0,44388.87,0.77,0.03
20,1444,27,6,6.0,51630.99,0.75,1.56
42,942,38,5,4.0,39115.66,0.04,0.68
76,508,38,6,3.0,20376.62,0.44,0.16
40,1913,24,5,10.0,50862.7,0.41,0.63
28,1878,31,0,9.0,59972.79,0.82,-0.98
64,999,36,8,4.0,51499.13,0.52,-0.1
69,603,46,8,4.0,21938.28,0.06,-1.15
44,550,28,8,1.0,14885.33,0.35,-0.33
50,121,43,2,3.0,5885.81,0.92,-0.46
61,1229,29,4,7.0,52351.95,0.55,0.73
35,1661,33,3,7.0,37800.13,0.73,-0.3
28,2419,9,9,11.0,13813.62,0.59,0.17
22,588,38,4,5.0,15794.74,0.17,0.3
36,1219,38,4,2.0,58609.55,0.46,-1.41
63,1511,27,2,6.0,44183.28,0.29,0.08
22,1406,22,3,7.0,27271.69,0.95,-1.14
70,1959,52,3,4.0,59688.03,0.96,-0.84
35,852,36,9,6.0,23616.74,0.78,-2.0
23,1437,14,6,4.0,21523.56,0.02,0.76
66,175,58,4,2.0,11816.6,0.6,-1.04
54,2310,29,6,6.0,46655.9,0.78,0.2
77,1817,31,7,7.0,79087.62,0.63,1.8
75,322,52,7,1.0,20849.83,0.09,1.08
56,1976,42,8,9.0,74993.26,0.51,-0.64
44,24,41,8,3.0,572.02,0.24,0.08
53,2960,25,7,7.0,71919.7,0.54,-0.25
77,1622,57,9,6.0,79739.8,0.44,1.31
62,2115,54,6,8.0,76116.42,0.86,0.23
22,524,36,1,1.0,22559.57,0.41,0.22
43,2599,15,0,14.0,19844.15,0.2,0.63
65,1474,26,4,4.0,38869.27,0.35,0.64
40,272,12,7,1.0,2161.83,0.78,-0.43
55,616,52,7,1.0,42853.61,0.74,1.4
38,1179,32,2,6.0,24810.98,0.78,-1.34
32,722,46,9,1.0,22249.54,0.6,-0.28
25,2756,41,6,11.0,103957.57,0.22,0.24
73,1334,66,8,9.0,59885.3,0.66,-1.98
37,1475,26,0,4.0,44366.63,0.36,-0.37
36,603,22,3,3.0,15295.75,0.29,2.03
28,2629,18,0,13.0,65078.64,0.63,0.86
65,2743,51,5,12.0,181001.59,0.65,0.02
31,563,42,3,2.0,23001.69,0.55,0.18
35,1046,20,1,6.0,22090.67,0.38,0.7
40,2970,32,5,11.0,87249.7,0.96,1.87
36,542,20,4,4.0,6071.37,0.38,0.11
20,1847,3,6,8.0,7356.88,0.37,-0.74
69,2921,27,1,9.0,47168.87,0.45,-0.07
52,1541,18,5,8.0,25390.23,0.91,-0.32
39,117,21,0,1.0,2620.36,0.89,1.06
77,1983,38,5,9.0,70898.19,0.92,0.31
69,2715,41,3,13.0,149889.72,0.99,-0.36
77,2096,53,8,11.0,90619.38,0.91,0.33
39,823,49,4,5.0,35952.23,0.4,-0.19
47,1330,39,7,3.0,43109.42,0.3,-0.04
43,1480,51,8,5.0,56710.94,0.61,0.92
61,2645,47,1,11.0,105237.49,0.25,-0.36
55,598,54,9,4.0,37567.8,0.44,-0.71
56,2865,44,4,10.0,117466.29,0.74,0.17
40,2293,17,3,5.0,28355.21,0.39,-0.33
48,1884,54,3,7.0,134981.58,0.06,-0.48
21,835,23,8,8.0,10693.58,0.91,2.0
31,2765,30,3,13.0,87674.94,0.63,-0.1
37,2914,33,1,11.0,98496.11,0.47,-1.71
50,2282,25,0,7.0,70164.56,0.09,-1.15
58,2300,53,2,8.0,61907.18,0.34,-0.81
54,367,25,9,1.0,13017.43,0.01,0.55
45,679,35,8,3.0,30688.9,0.77,-1.01
76,897,40,1,3.0,21968.61,0.54,-1.34
59,546,38,1,3.0,16807.75,0.58,2.17
44,1318,26,5,4.0,43955.23,0.48,1.25
32,228,29,8,1.0,8842.17,0.59,-1.06
32,2503,30,3,14.0,41529.3,0.14,-1.08
52,2932,53,7,13.0,154387.13,0.53,0.52
28,1959,44,5,8.0,76099.98,0.46,-2.15
67,1097,34,8,6.0,24564.79,0.21,1.16
43,2462,41,7,11.0,129670.12,0.71,1.1
45,1298,23,2,7.0,20878.64,0.72,0.42
65,1202,45,1,2.0,46000.93,0.65,-0.75
41,965,36,2,6.0,38941.34,0.61,1.03
42,2048,32,2,6.0,47274.37,0.3,0.63
65,2067,59,4,9.0,178324.96,0.11,-1.72
39,1248,28,8,4.0,46250.61,0.6,0.69
61,1543,21,6,5.0,26673.08,0.62,1.22
67,2792,41,8,10.0,122743.67,0.28,0.4
56,251,31,1,1.0,7932.85,0.42,-2.27
59,1163,23,6,5.0,18999.43,0.11,-0.91
59,1544,33,6,6.0,62456.73,0.15,1.08
37,709,43,6,1.0,17582.13,0.72,-0.8
59,169,40,5,1.0,6786.63,0.77,-0.58
79,1422,53,2,9.0,72796.08,0.4,-1.08
38,2591,23,5,10.0,34915.41,0.73,-0.17
79,844,52,1,2.0,23910.01,0.95,1.72
57,467,24,2,1.0,15550.85,0.95,-0.13
54,214,48,5,1.0,5276.79,0.47,0.98
43,2759,49,4,10.0,175484.76,0.2,0.7
70,2343,41,0,11.0,70304.72,0.7,1.39
58,237,47,1,1.0,12976.88,0.02,0.15
28,1801,19,7,8.0,25086.51,0.81,-0.53
74,1031,48,8,7.0,25008.3,0.5,-0.15
37,2555,48,9,12.0,157793.48,0.4,0.86
61,421,57,0,1.0,14597.23,0.05,-1.01
67,2014,24,7,8.0,54869.08,0.26,0.54
39,1589,27,9,5.0,42360.02,0.43,2.83
63,2061,27,2,9.0,58385.58,0.4,-0.02
64,167,23,9,2.0,4303.51,0.5,1.36
55,1382,44,6,4.0,60951.8,0.85,0.36
62,2833,40,5,13.0,100564.08,0.27,0.45
40,2750,40,7,10.0,98484.84,0.31,-0.25
46,828,27,6,3.0,32156.52,0.75,-1.35
45,2327,50,8,10.0,168464.91,0.91,-1.48
63,1603,60,2,6.0,138955.58,0.33,-0.95
43,913,33,6,2.0,34362.08,0.58,0.36
22,2211,20,6,10.0,38628.8,0.55,1.41
60,2120,60,8,10.0,161255.76,1.0,-0.11
21,2085,24,3,7.0,26946.21,0.43,0.44
45,2222,19,2,5.0,32890.78,0.48,0.02
47,308,39,4,1.0,8138.94,0.04,-0.95
34,383,41,0,1.0,12326.0,0.37,1.04
24,2563,13,6,8.0,42533.17,0.38,-0.07
47,1851,45,4,9.0,57943.83,0.09,-1.4
62,2297,47,5,11.0,142927.33,0.02,-0.96
23,1821,8,8,7.0,13337.86,0.51,-1.35
37,2347,30,4,8.0,53194.97,0.59,0.22
67,1864,36,6,9.0,87442.62,0.83,0.03
52,1954,43,5,9.0,93104.82,0.43,-0.04
75,1072,62,1,7.0,83144.96,0.8,1.52
33,1501,18,6,1.0,16304.05,0.22,0.56
76,1815,63,4,10.0,166938.95,0.32,-0.0
68,1346,46,5,7.0,53349.31,0.16,-1.5
61,878,53,6,3.0,64847.88,0.71,-1.04
78,923,32,9,3.0,24411.08,0.94,-1.41
50,404,53,1,1.0,23769.17,0.27,-0.41
55,53,25,8,1.0,1251.82,0.29,-0.66
77,1007,44,4,8.0,42748.05,0.2,-3.13
39,606,10,9,4.0,6240.11,0.52,0.58
77,2309,48,7,9.0,102466.47,0.71,-0.03
68,681,37,6,2.0,33757.19,0.3,0.49
73,1659,51,3,4.0,97310.67,0.0,-0.26
29,582,41,7,3.0,20346.12,0.83,1.44
70,66,45,9,1.0,2271.57,0.72,0.18
71,1976,50,5,5.0,56807.84,0.28,0.63
69,904,43,3,1.0,42339.02,0.23,-0.06
62,329,43,8,3.0,12229.9,0.0,0.33
27,1633,24,5,4.0,19925.63,0.4,0.89
37,2695,16,3,11.0,51809.15,0.86,1.11
24,1235,22,6,1.0,22667.45,0.23,0.12
75,1172,39,7,5.0,24803.12,0.11,-0.72
23,2107,10,3,10.0,27326.33,0.89,-0.62
44,2019,26,9,5.0,61405.15,0.28,0.77
66,2369,30,5,6.0,81866.82,0.86,0.41
50,1778,46,7,6.0,50770.14,0.43,-1.44
67,2343,59,6,10.0,140523.9,0.61,-0.86
40,1011,22,3,1.0,31133.3,0.64,0.57
25,1520,16,1,9.0,33556.42,0.47,-0.61
39,2433,27,5,9.0,39189.62,0.5,1.45
28,32,43,8,1.0,843.19,0.25,-0.73
28,2545,13,4,10.0,21682.24,0.2,0.45
76,2386,48,4,10.0,145526.21,0.83,-0.35
34,2606,46,3,12.0,60439.73,0.48,-0.58
37,1741,21,7,5.0,38151.52,0.95,-1.79
55,1143,45,7,7.0,75341.11,0.66,-1.0
58,2161,47,6,12.0,149112.6,0.22,0.66
28,2565,6,9,12.0,23017.88,0.94,-0.6
61,539,39,7,2.0,28170.21,0.1,1.05
53,938,17,4,3.0,18857.47,0.44,0.79
25,2555,13,5,10.0,44227.55,0.52,-0.11
44,1646,52,7,5.0,107776.86,0.7,0.38
65,296,49,5,1.0,9945.53,0.17,0.44
72,2079,44,6,5.0,87223.35,0.41,-0.35
37,183,13,4,1.0,3306.14,0.14,-0.39
21,1506,38,0,4.0,73300.51,0.59,0.66
21,2850,4,9,12.0,11222.78,0.27,1.08
22,1982,3,7,10.0,4568.74,0.47,0.33
71,907,54,3,5.0,70878.71,0.05,0.02
65,535,24,9,3.0,9039.41,0.91,0.75
33,473,20,5,3.0,8746.97,0.65,-0.49
72,682,52,6,1.0,39133.76,0.62,2.0
70,1155,52,8,5.0,65450.95,0.81,-1.0
49,2655,24,0,9.0,49190.55,0.11,-0.27
34,269,11,9,1.0,1499.1,0.12,-0.71
65,1174,57,2,4.0,36920.1,0.43,-0.48
65,2967,48,9,11.0,77983.03,0.09,0.53
67,1882,55,6,8.0,101542.76,0.31,0.71
31,487,29,0,2.0,18147.3,0.91,0.53
21,217,26,8,1.0,4216.33,1.0,-0.88
49,2708,28,8,10.0,102162.09,0.91,-1.45
29,51,13,2,1.0,632.72,0.54,-0.71
72,1700,44,6,3.0,51818.18,0.92,0.33
52,602,46,7,1.0,28418.95,0.47,0.33
36,1536,42,9,6.0,46805.55,0.41,-0.05
70,61,53,9,1.0,2177.52,0.49,-0.6
37,1538,10,9,6.0,8893.6,0.17,-0.48
51,1494,54,3,6.0,104465.33,0.47,0.29
51,137,55,7,1.0,9010.72,0.19,-0.52
30,499,43,6,1.0,25914.03,0.94,-0.38
66,461,34,3,1.0,13790.44,0.52,0.34
31,153,24,2,1.0,1989.5,0.1,0.75
54,2333,38,9,9.0,95262.44,0.17,0.9
73,2014,51,9,7.0,93820.91,0.11,0.34
45,69,37,4,3.0,3054.97,0.42,0.79
44,1722,43,2,6.0,51644.21,0.38,-0.94
44,2928,49,7,11.0,169949.8,0.78,0.49
50,420,46,4,1.0,10806.18,0.74,0.39
51,1001,54,2,4.0,52434.06,0.17,-1.62
75,461,42,4,1.0,9868.52,0.48,0.5
73,2935,44,9,11.0,137644.82,0.84,1.85
43,2952,19,4,15.0,46563.53,0.06,-0.18
78,505,64,6,2.0,19891.61,0.58,-0.86
52,2760,49,2,10.0,146081.19,0.11,1.1
36,321,19,1,1.0,7078.31,0.13,-1.03
74,298,32,3,1.0,7582.3,0.66,-0.32
26,1148,26,5,5.0,33833.84,0.67,-0.71
37,167,41,4,3.0,9954.91,0.94,-0.18
34,223,23,8,1.0,6359.43,0.74,-0.35
77,2528,64,7,10.0,105091.38,0.44,2.82
24,129,21,5,1.0,3374.28,0.54,0.03
66,805,58,8,2.0,39873.63,0.47,0.88
31,96,14,9,1.0,1627.22,0.81,0.69
26,2629,34,4,9.0,122331.14,0.9,0.66
43,2851,31,4,13.0,117810.46,0.41,-1.88
38,703,40,7,1.0,25805.93,0.98,1.15
68,1543,59,6,4.0,104074.45,0.43,0.15
59,2842,56,0,11.0,88288.52,0.26,-0.22
36,1384,15,7,4.0,20088.69,0.06,-0.08
54,30,34,5,1.0,846.63,0.05,-0.09
28,561,7,4,1.0,5295.7,0.77,0.62
66,867,30,2,2.0,24927.2,0.52,-0.63
72,2980,31,9,11.0,88170.6,0.4,-0.25
60,1844,21,5,10.0,34512.31,0.3,0.15
71,410,46,2,4.0,26100.99,0.25,1.03
65,1213,25,2,4.0,30641.04,0.74,-0.57
22,2499,40,7,8.0,149691.85,0.39,0.05
40,1117,49,0,1.0,28508.17,0.2,1.2
59,1854,50,7,10.0,121155.42,0.21,1.15
43,1691,33,5,7.0,54796.05,0.0,0.75
30,2083,16,4,7.0,38225.81,0.96,-0.11
79,730,49,3,3.0,43849.5,0.93,-1.93
32,1932,45,4,9.0,76344.0,0.97,2.15
78,2560,66,5,11.0,222129.85,0.83,-0.21
20,1516,34,4,3.0,34686.76,0.23,-0.82
62,2183,32,6,8.0,41106.86,0.62,-0.7
37,823,22,8,2.0,11911.55,0.3,0.67
69,2987,60,6,10.0,257654.13,0.34,-0.2
36,2608,10,2,14.0,34266.83,0.99,-0.23
68,2842,53,6,14.0,225278.59,0.7,0.29
36,1677,13,7,9.0,13534.91,0.75,-1.5
37,2789,27,4,11.0,91657.59,0.88,0.65
32,529,21,0,6.0,7664.59,0.17,0.43
51,2179,51,0,5.0,80551.92,0.6,1.75
62,1405,33,1,6.0,24544.16,0.94,-1.31
69,1109,28,7,3.0,18221.8,0.49,0.14
35,1083,14,6,1.0,10443.58,0.79,-0.03
45,1935,13,5,7.0,13649.61,0.2,0.5
40,637,22,4,2.0,15434.54,0.03,0.44
61,1739,45,9,6.0,71003.67,0.34,-0.26
45,1747,32,5,5.0,67505.15,0.63,-1.79
25,1858,14,0,6.0,14191.7,0.87,0.69
70,17,39,7,1.0,849.54,0.92,-1.38
66,1762,34,3,7.0,51123.58,0.69,1.1
35,451,25,3,1.0,11517.21,0.77,-0.18
40,1964,50,1,5.0,141052.58,0.68,1.2
33,916,38,7,2.0,31389.94,0.19,1.55
66,2550,37,1,11.0,126912.25,0.49,0.76
79,2528,35,0,11.0,45153.53,0.97,1.06
37,2854,30,4,11.0,111837.9,0.41,-1.74
20,1657,2,5,9.0,4910.54,0.55,0.86
23,262,8,1,1.0,2261.95,0.06,2.38
57,1940,46,4,9.0,54474.89,0.67,0.06
38,2584,38,4,12.0,101502.0,0.06,-0.44
50,2223,16,2,11.0,32926.55,0.61,-0.26
46,1988,33,7,10.0,91662.4,0.15,0.05
67,222,54,0,1.0,14142.18,0.35,-0.09
23,2511,22,8,8.0,70783.92,0.35,0.06
71,1960,29,0,8.0,42451.16,0.42,0.96
57,2806,44,6,9.0,165717.82,0.07,-1.32
24,2470,34,9,9.0,44418.2,0.53,-2.89
57,404,55,3,1.0,25264.76,0.54,0.17
78,1317,48,8,3.0,55922.39,0.46,0.75
63,1352,38,8,6.0,68098.71,0.28,-1.12
56,2587,33,9,13.0,62176.52,0.11,0.34
36,2130,46,3,10.0,92181.38,0.67,-0.97
25,2714,4,8,12.0,8414.19,0.85,-0.12
74,346,31,2,1.0,13078.47,0.63,0.55
75,317,67,5,1.0,18399.38,0.01,-0.06
46,1035,53,8,9.0,63119.08,0.21,-1.09
39,188,28,1,1.0,5626.79,0.7,0.58
67,2067,56,9,8.0,59590.87,0.21,-0.44
32,2821,22,4,11.0,83658.98,0.54,-0.39
32,1264,19,6,3.0,33226.52,0.5,0.41
53,653,44,1,4.0,32231.34,0.85,-1.8
41,2216,13,6,5.0,32674.93,0.12,0.46
24,2254,15,4,4.0,32838.98,0.98,-0.82
57,1094,24,8,8.0,37734.4,0.11,0.2
61,2062,59,1,7.0,172474.87,0.22,1.64
69,2518,38,0,8.0,109510.15,0.89,0.3
66,1062,31,7,4.0,39136.14,0.97,-1.11
75,2056,63,0,6.0,85970.37,0.41,-1.09
58,1768,30,9,5.0,35880.7,0.63,0.69
55,811,52,6,3.0,38268.06,0.61,1.42
39,1397,29,4,8.0,31407.77,0.49,1.3
67,2132,24,0,9.0,67699.1,0.35,1.4
64,2104,61,7,7.0,71305.43,0.16,0.85
62,458,32,5,1.0,9263.79,0.2,-0.09
66,506,63,0,2.0,21817.87,0.4,-1.11
68,566,59,1,2.0,22908.01,0.28,0.77
79,2556,40,3,6.0,58267.31,0.52,-1.24
64,2018,54,3,8.0,136687.64,0.54,-0.57
46,1778,32,1,7.0,62323.66,0.55,-2.26
68,1085,26,5,3.0,21513.54,0.02,0.37
22,2786,13,2,11.0,42217.28,0.73,-1.06
55,525,20,5,4.0,10650.8,0.78,0.94
66,443,24,1,1.0,12730.34,0.38,0.43
53,888,24,6,5.0,28761.86,0.68,-0.47
58,2189,36,7,6.0,109615.06,0.59,-0.41
53,2633,33,5,10.0,121566.13,0.13,0.22
23,1313,31,1,4.0,36413.91,0.02,-0.44
66,2525,52,4,8.0,85878.06,0.5,-0.24
78,1485,55,7,4.0,42120.53,0.14,-1.11
57,1713,23,3,1.0,53755.42,0.67,-0.95
26,103,12,2,1.0,1280.59,0.29,-0.6
77,1221,36,1,6.0,37058.46,0.24,-1.58
54,2939,35,0,13.0,58437.57,0.01,0.29
74,92,41,5,1.0,5533.0,0.92,-0.23
26,324,24,4,1.0,6989.06,0.54,0.38
61,1814,49,8,6.0,68985.56,0.64,-0.53
46,1753,42,7,6.0,95296.19,0.04,0.57
30,1684,19,9,7.0,38611.33,0.56,0.37
43,66,30,6,1.0,1169.0,0.01,-0.94
44,1496,16,8,4.0,14012.89,0.6,2.05
29,1240,27,0,8.0,29771.9,0.82,0.71
32,2554,18,8,5.0,42644.67,0.89,0.94
21,1946,23,2,5.0,31588.21,0.94,-0.08
49,2457,48,0,5.0,142088.84,0.21,1.16
71,656,50,9,2.0,31150.45,0.92,-0.6
74,111,42,8,1.0,4209.26,0.64,2.0
26,893,10,3,1.0,5395.59,0.42,0.44
38,2095,40,6,8.0,43658.87,0.8,-0.59
70,2957,57,2,12.0,155464.36,0.35,-0.38
65,2777,31,0,8.0,50409.35,0.24,1.03
56,455,44,4,1.0,13927.92,0.17,0.13
78,1318,47,9,5.0,82930.47,0.51,0.65
45,2326,14,3,11.0,46304.96,0.46,-0.52
71,716,51,9,2.0,44193.37,0.99,-0.22
66,1069,28,6,5.0,27343.18,0.73,-1.17
63,1073,53,5,6.0,28736.76,0.05,1.37
33,815,37,7,3.0,29894.45,0.81,-0.78
60,256,49,3,1.0,13188.23,0.6,0.26
75,1062,44,5,3.0,56726.89,0.9,-0.21
41,2630,32,9,12.0,83213.9,0.13,0.4
50,2893,51,2,10.0,191316.27,0.84,0.12
34,1822,21,2,5.0,21905.48,0.56,0.48
53,2594,46,9,9.0,82121.64,0.24,0.04
78,277,60,1,1.0,17222.65,0.94,-0.24
55,1028,56,0,2.0,54681.7,0.45,1.49
37,2440,18,6,13.0,54905.23,0.58,-1.09
71,2940,65,9,14.0,228472.28,0.9,-1.59
68,655,64,1,4.0,44311.31,0.64,-0.21
50,2513,47,9,12.0,78332.38,0.56,1.33
50,1898,49,7,7.0,95110.59,0.88,-0.87
22,1884,20,6,8.0,32141.52,0.49,-0.24
65,2415,32,2,8.0,56142.77,0.05,0.52
20,226,33,1,1.0,8441.31,0.06,-0.26
51,478,17,7,3.0,11702.33,0.95,-1.26
39,893,33,5,2.0,36533.91,0.46,-0.28
25,849,21,8,7.0,23569.67,0.27,1.07
54,635,42,4,5.0,36544.5,0.31,-0.34
46,2061,47,1,9.0,53210.82,0.63,-1.14
35,615,17,8,4.0,8130.82,0.87,0.58
26,2070,6,1,3.0,12157.1,0.4,-0.99
79,381,42,9,1.0,9742.83,0.23,0.47
58,2989,30,8,13.0,125802.78,0.07,0.68
58,659,46,8,5.0,35383.61,0.99,0.15
